bank_id,bank,nim,noncurrent_loans,tier1_ratio,tier1_capital,roa,date,total_assets,rwa,equity,net_loans,deposits,ID,npl_ratio,real_gdp_growth,unemployment,t3m,cpi_inflation,mortgage_rate,house_price_index
628,JPMorgan Chase Bank NA,2.069452482926265,16761000,13.07,171229000,0.8540658705426656,2016-03-31,2015718000000,1291997660,197618000000,745111000000,1391743000,628_20160331,2.249463502753281,2.3,4.9,0.286666667,0.891616097,3.738461538,365.66
628,JPMorgan Chase Bank NA,2.0758742295412755,15606000,13.21,174090000,0.902199826795823,2016-06-30,2051004000000,1300408204,200716000000,767094000000,1407716000,628_20160630,2.034431243107103,1.3,4.933333333,0.256666667,1.079286535,3.589230769,372.47
628,JPMorgan Chase Bank NA,2.064135365511154,15383000,13.28,176375000,0.9069211396666887,2016-09-30,2118497000000,1327929612,202887000000,781141000000,1485968000,628_20160930,1.9692987565625157,2.9,4.9,0.296666667,1.54864462,3.446153846,379.12
628,JPMorgan Chase Bank NA,2.072373059753144,14732001,13.61,179341000,0.9512230571912306,2016-12-31,2082803000000,1288446260,205087000000,782594000000,1480238000,628_20161231,1.8824576983723362,2.2,4.766666667,0.43,2.050798912,3.842307692,382.04
628,JPMorgan Chase Bank NA,2.1141222052375044,13547000,13.81,181576000,0.943516698828778,2017-03-31,2138002000000,1273866620,207332000000,789948000000,1519501000,628_20170331,1.714923007590373,2.0,4.566666667,0.59,2.441196237,4.173076923,384.73
628,JPMorgan Chase Bank NA,2.1175877456070262,12429000,13.89,184141000,0.9672026990914998,2017-06-30,2152006000000,1325393878,210152000000,800078000000,1539823000,628_20170630,1.553473536330208,2.3,4.366666667,0.89,1.64056581,3.98,393.32
628,JPMorgan Chase Bank NA,2.14599777389092,11979000,13.98,186440000,0.9864041626870974,2017-09-30,2153028000000,1333598691,212280000000,804646000000,1540175000,628_20170930,1.488729205141143,3.2,4.333333333,1.036666667,2.18056523,3.883846154,399.38
628,JPMorgan Chase Bank NA,2.172879418824498,12622000,13.77,184375000,0.8873478817135741,2017-12-31,2140778000000,1338970091,211685000000,817764000000,1534907000,628_20171231,1.5434770911901234,4.6,4.166666667,1.206666667,2.12993072,3.922307692,402.68
628,JPMorgan Chase Bank NA,2.286356763059337,12016000,13.59,187903000,1.2297554731723863,2018-03-31,2198296000000,1382770270,214805000000,831203000000,1559153000,628_20180331,1.4456155716473593,3.3,4.033333333,1.56,2.330949765,4.282307692,408.32
628,JPMorgan Chase Bank NA,2.327493937242198,10591000,13.92,188784000,1.2505736329554402,2018-06-30,2167700000000,1356526230,215480000000,844569000000,1526755000,628_20180630,1.2540124015918177,2.1,3.933333333,1.84,2.807550694,4.544615385,415.81
628,JPMorgan Chase Bank NA,2.355006060662892,9416000,13.85,188608000,1.235970395819899,2018-09-30,2194835000000,1362039530,215098000000,850299000000,1540078000,628_20180930,1.1073751703812422,2.5,3.766666667,2.04,2.332055106,4.566923077,420.9
628,JPMorgan Chase Bank NA,2.3778049010845392,9384000,13.89,187259000,1.181852337547613,2018-12-31,2218960000000,1348229825,214224000000,874492000000,1558027000,628_20181231,1.0730801425284622,0.6,3.833333333,2.316666667,2.002380904,4.784615385,422.31
628,JPMorgan Chase Bank NA,2.446328942980452,9153000,14.03,190158000,1.2892088168051117,2019-03-31,2292334000000,1355463455,216894000000,850917000000,1579612000,628_20190331,1.0756630787726653,2.5,3.866666667,2.386666667,1.883186351,4.373846154,427.06
628,JPMorgan Chase Bank NA,2.845682473979395,9270000,14.99,217622000,1.353255858760785,2019-06-30,2354812000000,1452055345,256755000000,945046000000,1606043000,628_20190630,0.9809046332136213,3.4,3.633333333,2.3,1.671194894,4.010769231,434.2
628,JPMorgan Chase Bank NA,2.838215223062578,9077000,14.2,205347000,1.3393591190048797,2019-09-30,2367127000000,1445647950,245138000000,935666000000,1620225000,628_20190930,0.9701111293987384,4.8,3.6,1.98,1.684497704,3.658461538,439.75
628,JPMorgan Chase Bank NA,2.829142210030477,7628000,14.19,206851000,1.3228961840657498,2019-12-31,2338048000000,1457689455,246097000000,950032000000,1651125000,628_20191231,0.8029203226838675,2.8,3.6,1.576666667,2.31952747,3.7,443.65
628,JPMorgan Chase Bank NA,2.648870584996961,8217000,13.4,204691000,0.2692396306264453,2020-03-31,2692415000000,1527914175,243499000000,995875000000,1905831000,628_20200331,0.8251035521526296,-5.2,3.833333333,1.11,1.494039964,3.521538462,448.8
628,JPMorgan Chase Bank NA,2.462647221580734,10088000,14.89,217107000,0.2811083569946239,2020-06-30,2822025000000,1458533735,252776000000,947100000000,2051701000,628_20200630,1.065146235877943,-28.0,13.0,0.143333333,0.716656283,3.239230769,453.33
628,JPMorgan Chase Bank NA,2.3216718310919906,13194000,15.62,225549000,0.5815709953052685,2020-09-30,2870383000000,1444068845,261192000000,964198000000,2106885000,628_20200930,1.368391139579215,34.9,8.8,0.113333333,1.391022891,2.952307692,461.34
628,JPMorgan Chase Bank NA,2.237316851382681,12843000,15.7,234237000,0.7649025803896901,2020-12-31,3025285000000,1492138275,270060000000,995415000000,2253482000,628_20201231,1.2902156387034553,4.6,6.766666667,0.093333333,1.320419132,2.760714286,471.44
628,JPMorgan Chase Bank NA,1.8305507221987896,11819000,16.13,242466000,1.4138094463392572,2021-03-31,3207521000000,1503157925,277369000000,1004126000000,2374301000,628_20210331,1.1770435184429047,5.7,6.233333333,0.05,2.667818782,2.875833333,482.86
628,JPMorgan Chase Bank NA,1.80940643236774,10677000,16.53,251951000,1.2999174564619451,2021-06-30,3190100000000,1524071625,288130000000,1030222000000,2403009000,628_20210630,1.0363785669496477,7.0,5.933333333,0.026666667,5.29563262,3.003846154,509.67
628,JPMorgan Chase Bank NA,1.8036835143285457,9747000,16.64,259994000,1.2514451192231384,2021-09-30,3290398000000,1562369680,296062000000,1033034000000,2499413000,628_20210930,0.9435313842525996,3.3,5.066666667,0.046666667,5.351215591,2.872142857,538.02
628,JPMorgan Chase Bank NA,1.8124096426354468,9940000,16.87,266910000,1.1877128785341289,2021-12-31,3306982000000,1582280330,302848000000,1068728000000,2549631000,628_20211231,0.9300776249897074,7.0,4.166666667,0.053333333,7.174340285,3.079230769,556.37
628,JPMorgan Chase Bank NA,1.8141295127382435,9584000,15.89,263900000,0.7528642584503751,2022-03-31,3476711000000,1660497765,299153000000,1064330000000,2635021000,628_20220331,0.9004725977845218,-1.0,3.866666667,0.306666667,8.572204966,3.822307692,576.63
628,JPMorgan Chase Bank NA,1.924077420660541,9084000,16.12,263044000,0.8438767921781231,2022-06-30,3380824000000,1631554690,297245000000,1092851000000,2548727000,628_20220630,0.8312203584935183,0.6,3.633333333,1.076666667,8.979361103,5.266153846,613.81
628,JPMorgan Chase Bank NA,2.108269208767719,8591000,16.38,264470000,0.9343427091568884,2022-09-30,3308575000000,1614627530,297265000000,1098891000000,2502364000,628_20220930,0.7817881846334168,2.9,3.533333333,2.663333333,8.192106896,5.623076923,623.29
628,JPMorgan Chase Bank NA,2.316716314756881,8569000,16.89,269672000,1.029743027810318,2022-12-31,3201942000000,1597072175,303620000000,1124240000000,2440722000,628_20221231,0.7622037999003771,2.8,3.566666667,4.04,6.404600402,6.664615385,616.71
628,JPMorgan Chase Bank NA,3.037682507187871,8908000,17.26,273554000,1.4484293046033907,2023-03-31,3267963000000,1584591315,309001000000,1118613000000,2472913000,628_20230331,0.7963433287472967,2.9,3.533333333,4.626666667,4.917719363,6.372307692,620.31
628,JPMorgan Chase Bank NA,3.068039939386269,9506000,17.0,279236000,1.5659402563920382,2023-06-30,3382195000000,1642804465,315369000000,1286433000000,2505650000,628_20230630,0.7389424867054872,2.5,3.533333333,5.073333333,3.070617073,6.510769231,638.5
628,JPMorgan Chase Bank NA,3.1109427379979064,9747000,17.26,282482000,1.5666400723812577,2023-09-30,3385581000000,1636819495,317802000000,1297087000000,2459921000,628_20230930,0.7514530636726757,4.7,3.633333333,5.29,3.687206638,7.04,649.07
628,JPMorgan Chase Bank NA,3.147880030760652,9491000,16.16,262032000,1.4277806506141748,2023-12-31,3395126000000,1621789305,299279000000,1308719000000,2498231000,628_20231231,0.7252129754362854,3.4,3.8,5.283333333,3.315909943,7.303846154,649.37
628,JPMorgan Chase Bank NA,3.0509236477812984,10311000,16.02,268043000,1.3584429974924932,2024-03-31,3503360000000,1673296870,304994000000,1296893000000,2525885000,628_20240331,0.7950540252742517,0.8,3.833333333,5.233333333,3.486834912,6.748461538,658.64
