bank_id,bank,date,npl_ratio,npl_pred,error
6384,PNC Bank NA,2023-03-31,0.9756914138468364,1.134542124841932,0.15885071099509562
6384,PNC Bank NA,2023-06-30,0.9445277552808248,1.1034063273199113,0.1588785720390865
6384,PNC Bank NA,2023-09-30,1.0180747654997424,1.0902447651189031,0.07216999961916071
6384,PNC Bank NA,2023-12-31,1.018629462696834,1.2164216067717284,0.19779214407489443
6384,PNC Bank NA,2024-03-31,1.0767429093716965,1.2243230282952746,0.14758011892357814
6384,PNC Bank NA,2024-06-30,1.0942638110692644,1.2468452423279577,0.15258143125869328
6384,PNC Bank NA,2024-09-30,1.1065613449213054,1.3146785115425033,0.20811716662119784
6384,PNC Bank NA,2024-12-31,1.057091827415879,1.2602044995662887,0.20311267215040973
6548,U.S. Bank NA,2023-03-31,1.0126606154134767,1.134754215394425,0.12209359998094826
6548,U.S. Bank NA,2023-06-30,0.9534967587197896,1.1161269469628046,0.162630188243015
6548,U.S. Bank NA,2023-09-30,1.0417776478928225,1.0767183156923834,0.034940667799560954
6548,U.S. Bank NA,2023-12-31,1.1282842526046823,1.2167065288507124,0.08842227624603005
6548,U.S. Bank NA,2024-03-31,1.165333560793666,1.3051782964447063,0.13984473565104039
6548,U.S. Bank NA,2024-06-30,1.1276841231107118,1.3079552252759932,0.18027110216528142
6548,U.S. Bank NA,2024-09-30,1.2287086970869676,1.3240724422790282,0.09536374519206059
6548,U.S. Bank NA,2024-12-31,1.3210624508213538,1.3527701542972599,0.031707703475906124
6560,Huntington National Bank,2023-03-31,0.6089450479844152,0.7684123170556186,0.15946726907120345
6560,Huntington National Bank,2023-06-30,0.5672963591936109,0.7028592408585487,0.1355628816649378
6560,Huntington National Bank,2023-09-30,0.6334292692957113,0.679869129900487,0.04643986060477567
6560,Huntington National Bank,2023-12-31,0.7141763615801636,0.7990960779501918,0.08491971637002815
6560,Huntington National Bank,2024-03-31,0.7413799885451047,0.8821689437293124,0.14078895518420775
6560,Huntington National Bank,2024-06-30,0.7384490683524549,0.8757166423264237,0.13726757397396872
6560,Huntington National Bank,2024-09-30,0.7725410827856222,0.9243786049916308,0.15183752220600866
6560,Huntington National Bank,2024-12-31,0.7967022781220566,0.890334492637426,0.0936322145153694
6672,Fifth Third Bank NA,2023-03-31,0.6969215180697087,0.7600276075281087,0.06310608945840002
6672,Fifth Third Bank NA,2023-06-30,0.7072570725707257,0.792280622015936,0.08502354944521029
6672,Fifth Third Bank NA,2023-09-30,0.6302698501208158,0.8180199528275376,0.18775010270672177
6672,Fifth Third Bank NA,2023-12-31,0.7164541590771099,0.8030877071748512,0.08663354809774138
6672,Fifth Third Bank NA,2024-03-31,0.7641520968333537,0.8912573583724344,0.12710526153908064
6672,Fifth Third Bank NA,2024-06-30,0.6688322432877285,0.904016192134252,0.2351839488465235
6672,Fifth Third Bank NA,2024-09-30,0.7592954990215264,0.866073813504884,0.10677831448335762
6672,Fifth Third Bank NA,2024-12-31,0.8655222351137798,0.8848714652410474,0.019349230127267636
7213,Citibank NA,2023-03-31,0.7317271691356015,0.8087566596824269,0.0770294905468254
7213,Citibank NA,2023-06-30,0.6406251261311441,0.8426578420618605,0.20203271593071637
7213,Citibank NA,2023-09-30,0.8161369733107297,0.7733107161340746,-0.042826257176655
7213,Citibank NA,2023-12-31,0.838671810018236,0.9950682428290121,0.1563964328107761
7213,Citibank NA,2024-03-31,0.8047633507331878,1.0235735985552579,0.21881024782207004
7213,Citibank NA,2024-06-30,0.690760259199564,0.959835518620896,0.26907525942133204
7213,Citibank NA,2024-09-30,0.6802477978958621,0.9043796839911369,0.2241318860952748
7213,Citibank NA,2024-12-31,0.7671393703463404,0.8285238405151656,0.0613844701688252
9846,Truist Bank,2023-03-31,0.7850191411835248,0.9794971037112205,0.19447796252769567
